Feature,Feature Weight
's_best,-8.113407446662739E-4
's_business,0.0038843862138483653
's_charlie,-6.776263578034403E-21
's_chest,-0.0018475033762584158
's_chris,-7.022067034436635E-4
's_clear,-1.3552527156068805E-20
's_corey,-0.0
's_curtis,-0.0
's_defense,-0.001718345054341262
's_destinations,-0.0
's_duce,-0.0
's_eddie,-0.0
's_email,2.371692252312041E-19
's_engine,-1.3552527156068805E-20
's_eve,-8.131516293641283E-20
's_excellent,-0.0
's_expected,1.3552527156068805E-20
's_fall,-0.0
's_fantasy,-3.088150381785029E-4
's_favorite,-0.0
's_first,-5.205636738706611E-4
's_for,-0.008954726864447895
's_game,3.2526065174565133E-19
's_garrison,-6.776263578034403E-21
's_get,0.01006604711080567
's_going,0.013292422318175746
's_got,-0.0012227703773143232
's_had,-0.0
's_hard,-0.0
's_healthy,-5.421010862427522E-20
's_help,0.00659275315350526
's_hot,8.131516293641283E-20
's_hottest,-1.3552527156068805E-19
's_houston,-1.5442550017075141E-4
's_how,-0.0
's_imagestation.com,4.0657581468206416E-20
's_in,-5.205636738706617E-4
's_injury,-0.0012395214540514238
's_it,-4.0657581468206416E-20
's_james,-0.0
's_jerome,-0.0
's_just,-0.0014918453383642974
's_knee,-1.0842021724855044E-19
's_ladainian,-0.0
's_lamar,-6.776263578034403E-21
's_largest,0.0029049137630342463
's_likely,-0.0
's_lining,-0.0
's_loss,-0.0017183450543412605
's_matchup,-2.710505431213761E-20
's_maurice,-0.0
's_michael,-0.0
's_mike,1.3552527156068805E-20
's_most,-5.205636738706617E-4
's_my,-0.015679106735187236
's_new,0.004780384012819481
's_nfl,-2.0328790734103208E-19
's_no,-0.002196966732923969
's_no.,5.421010862427522E-20
's_not,0.0034254774369049117
's_numbers,-0.0
's_offense,2.710505431213761E-20
's_office,0.006072189479634603
's_on,-2.710505431213761E-20
's_one,1.3552527156068805E-20
's_onepass,-0.0
's_online,-6.776263578034403E-21
's_only,2.710505431213761E-20
's_our,0.0034254774369049095
's_performance,-0.0027884387551292255
's_playing,-0.0
's_possible,-5.205636738706617E-4
's_practice,-0.0012104105933874998
's_pretty,-0.0041287852293574335
's_priest,-0.0
's_probably,-1.6263032587282567E-19
's_ranked,-0.0
's_ready,8.131516293641283E-20
's_receiving,-1.3552527156068805E-20
's_recent,-8.506928618993698E-4
's_record,-0.004796345990274138
's_resolution,-1.3552527156068805E-20
's_richard,-6.776263578034403E-21
's_right,4.3368086899420177E-19
's_season,-6.776263578034403E-21
's_shaun,-6.776263578034403E-21
's_site,-0.0025835347420513554
's_something,-0.007003455655063995
's_special,-0.0
's_stacey,-0.0
's_starting,-0.0
's_status,-1.3552527156068805E-20
's_stephen,-0.0
's_still,-0.0
's_such,-0.0044836269980257455
's_terms,-0.0
's_terry,-0.0
's_the,0.010379659791096943
's_time,-9.378452108296346E-5
's_too,-8.131516293641283E-20
's_top,-1.0842021724855044E-19
's_tough,-0.0
's_travis,-0.0
's_up,-9.378452108296335E-5
's_use,-2.645563388481494E-4
's_warrick,-0.0
's_website,-0.003910362783949189
's_what,-7.022067034436636E-4
's_why,-0.001210410593387499
's_win,-0.0
's_worth,-2.710505431213761E-20
's_your,-1.0822889952242319E-4
've,0.006982984634163577
've_been,0.012082011724788212
've_got,0.006319537400614479
've_made,9.486769009248164E-20
've_never,-2.0525974481507394E-5
've_requested,0.002409008261456647
've_used,-8.470329472543003E-22
+0.4,0.002409008261456647
+0.4_<PERCENTSIGN>,0.002409008261456647
+1,-0.032526513075712166
+1.15,0.002409008261456647
+1.15_<PERCENTSIGN>,0.002409008261456647
+1.19,0.002409008261456647
+1.19_<PERCENTSIGN>,0.002409008261456647
+1.48,0.002409008261456647
+1.48_<PERCENTSIGN>,0.002409008261456647
+1.90,0.002409008261456647
+1.90_<PERCENTSIGN>,0.002409008261456647
+2,-6.891568180806399E-5
+2_<PERCENTSIGN>,0.002409008261456647
+3.03,0.002409008261456647
+3.03_<PERCENTSIGN>,0.002409008261456647
+3.07,0.002409008261456647
+3.07_<PERCENTSIGN>,0.002409008261456647
+3.36,0.002409008261456647
+3.36_<PERCENTSIGN>,0.002409008261456647
+3.78,0.002409008261456647
+3.78_<PERCENTSIGN>,0.002409008261456647
+5.4,0.002409008261456647
+5.4_<PERCENTSIGN>,0.002409008261456647
+6.5,0.002409008261456647
+6.5_<PERCENTSIGN>,0.002409008261456647
+6.6,0.002409008261456647
+6.6_<PERCENTSIGN>,0.002409008261456647
--,0.06650502607666316
-----,0.02659381291060394
--------,6.098637220230962E-20
--------------------,9.486769009248164E-20
----------------------,0.008708377983875346
---------------------------,0.008003256589315675
----------------------------,-2.710505431213761E-20
-------------------------------,-0.0
--------------------------------------,2.710505431213761E-20
---------------------------------------,2.710505431213761E-20
------------------------------------------,-0.0
----------------------------------------------------,-0.001157430269049626
-----------------------------------------------------------,-2.8143474497679857E-4
-------------------------------------------------------------,-0.008900424521914096
---------------------------------------------------------------------,-4.0259955926146425E-4
------------------------------------------------------------------------,0.0019121202900435467
------------------------------------------------------------------------------------------------------,-1.2197274440461925E-19
----------------------------------------------------------------------------------------------------------------------------,-5.421010862427522E-20
----------------------------------------------------------------------------------------------------------------------------_for,-5.421010862427522E-20
------------------------------------------------------------------------------------------------------_scheduled,-6.776263578034403E-21
-------------------------------------------------------------_bill,-6.776263578034403E-21
-------------------------------------------------------------_gary,-2.7067841034510094E-4
-------------------------------------------------------------_grigsby,9.486769009248164E-20
-------------------------------------------------------------_mark,2.710505431213761E-20
-------------------------------------------------------------_mike,-0.0023128563317062526
-------------------------------------------------------------_to,-0.002583534742051353
-----------------------------------------------------------_for,-6.776263578034403E-21
-----------------------------------------------------------_prints,1.1519648082658485E-19
-----------------------------------------------------------_this,-6.776263578034403E-21
-----------------------------------------------------------_your,4.0657581468206416E-20
------------------------------------------_<DOLLAR>,-0.0
---------------------------------------_this,-1.3552527156068805E-20
-------------------------------_<DOLLAR>,-0.0
---------------------------_enron,0.005207636376988519
---------------------------_madeleine,-4.0187989478315177E-4
---------------------------_michael,-0.0013312074652239117
----------------------_forwarded,0.013024611490761234
--------------------_--------,1.1519648082658485E-19
--------_total,1.1519648082658485E-19
-----_<RIGHTANGLE>,0.0034832143395908074
-----_from,0.02504569250693505
-----_original,0.07809036440903026
--_<RIGHTANGLE>,-4.974559762680088E-6
--_<tableEwidth="100%"Eborder="0"Ecellspacing="0"Ecellpadding="5"Ebgcolor="#ffffee">,-1.3552527156068805E-20
--_a,0.005111419019298059
--_and,-2.710505431213761E-20
--_follow,-0.0
--_please,-1.3552527156068805E-20
--_the,0.0014516827308126428
--_today,-8.131516293641283E-20
--_up,-0.0011574302690496251
--_you,-5.421010862427522E-20
-0.1,0.002409008261456647
-0.1_<PERCENTSIGN>,0.002409008261456647
-1,-0.0024779239432646963
-1412,-4.0657581468206416E-20
-1412_<RIGHTANGLE>,-4.0657581468206416E-20
-2,-0.002477923943264699
-4,-0.002477923943264699
-4_<PERIOD>,1.1858461261560205E-20
-7,-0.002477923943264699
-lrb-212-rrb-E756E4474,0.004321128551500179
-lrb-212-rrb-E756E4474_<RIGHTANGLE>,0.004321128551500179
-lrb-506-rrb-E296-0212,-1.240022685635652E-4
-lrb-506-rrb-E296-0212_all,-1.240022685635652E-4
-lrb-713-rrb-853-9797,-1.2197274440461925E-19
-lrb-713-rrb-853-9797_or,-1.2197274440461925E-19
-lrb-713-rrb-E284-3757,-1.2197274440461925E-19
-lrb-713-rrb-E284-3757_-lsb-,-1.2197274440461925E-19
-lrb-713-rrb-E284-4175,-1.2197274440461925E-19
-lrb-713-rrb-E284-4175_-lsb-,-1.2197274440461925E-19
-lrb-713-rrb-E285-3165,-1.2197274440461925E-19
-lrb-713-rrb-E285-3165_-lsb-,-1.2197274440461925E-19
-lrb-713-rrb-E288-0101,-1.2197274440461925E-19
-lrb-713-rrb-E288-0101_-lsb-,-1.2197274440461925E-19
-lrb-713-rrb-E327-3893,-1.2197274440461925E-19
-lrb-713-rrb-E327-3893_-lsb-,-1.2197274440461925E-19
-lrb-713-rrb-E327-6032,-1.2197274440461925E-19
-lrb-713-rrb-E327-6032_-lsb-,-1.2197274440461925E-19
-lrb-713-rrb-E345-4727,-1.2197274440461925E-19
-lrb-713-rrb-E345-4727_unify,-1.2197274440461925E-19
-lrb-713-rrb-E639-9726,-1.2197274440461925E-19
-lrb-713-rrb-E639-9726_-lsb-,-1.2197274440461925E-19
-lrb-713-rrb-E646-3446,-0.008954726864447904
-lrb-713-rrb-E646-3446_<OPENPAREN>,-0.008954726864447904
-lrb-713-rrb-E853-1411,-1.2197274440461925E-19
-lrb-713-rrb-E853-1411_enron,-1.2197274440461925E-19
-lrb-713-rrb-E853-5536,-1.2197274440461925E-19
-lrb-713-rrb-E853-5536_sap\/isc,-1.2197274440461925E-19
-lrb-713-rrb-E853-7009,-0.008954726864447904
-lrb-713-rrb-E853-7009_<OPENPAREN>,-0.008954726864447904
-lrb-719-rrb-E457-0820,0.005951599265391028
-lrb-859-rrb-E254-5362,4.3368086899420177E-19
-lrb-859-rrb-E254-5362_or,4.3368086899420177E-19
-lrb-877-rrb-E488-2880,6.776263578034403E-21
-lrb-877-rrb-E488-2880_support@imagestation.com,6.776263578034403E-21
-lrb-888-rrb-853-9797,-1.2197274440461925E-19
-lrb-888-rrb-853-9797_tds,-1.2197274440461925E-19
-lsb-,-0.0685828062207179
-lsb-_-lsb-,-0.003630962351172422
-lsb-_fwd,0.0021333778226690367
-lsb-_mailto:james.h.cook@us.andersen.com],-0.001315459160764385
-lsb-_mailto:ksowens8@iwl.net],-1.3552527156068805E-19
-lsb-_mailto:martin.cuilla@enron.com],0.007218339771854059
-lsb-_mailto:mcontant@cypressasset.com],-0.04671894731027274
-lsb-_mailto:zwharton@dawray.com],-0.005572127158547109
-lsb-_our,-0.003630962351172422
-lsb-_pager,-1.2197274440461925E-19
-rsb-,-0.011732699018397637
-rsb-_-lsb-,-0.0
-rsb-_-rsb-,-0.003630962351172422
-rsb-_<PERIOD>,-2.6455633884814946E-4
-rsb-_<RIGHTANGLE>,0.0021333778226690367
-rsb-_EOL,7.194735276560177E-5
-rsb-_breaking,-0.006636080259938607
-rsb-_clearly,-2.710505431213761E-20
-rsb-_cpr,-1.2197274440461925E-19
-rsb-_edi,-1.2197274440461925E-19
-rsb-_ees,-1.2197274440461925E-19
-rsb-_oss\/ua4\/tarp,-1.2197274440461925E-19
-rsb-_rus\/gops\/geotools,-1.2197274440461925E-19
-rsb-_sitara,-1.2197274440461925E-19
-rsb-_this,4.3368086899420177E-19
-rsb-_update,-0.0012395214540514238
.05,-1.3552527156068805E-20
.05_a,-1.3552527156068805E-20
.30,2.21257532625493E-4
.30_<RIGHTANGLE>,2.21257532625493E-4
.55,2.21257532625493E-4
.55_trading,2.21257532625493E-4
.99,-0.0
.99_per,-0.0
0,-0.02603518675092922
0-91,-5.421010862427522E-20
0-91_round,-5.421010862427522E-20
0.0,-0.0021496883441541517
0.00,2.710505431213761E-20
0.00_--------------------,2.710505431213761E-20
0.00_shipping,2.710505431213761E-20
0.0_</td>,-1.3552527156068805E-20
0.10,0.02307752840155314
0.10_<DOLLAR>,0.02307752840155314
0.49,0.006407760423038719
0.49_<OPENPAREN>,1.1519648082658485E-19
0.60,0.01246878259786505
00,0.012468782597865057
00000,-4.743384504624082E-20
000000,-3.4269204899288534E-4
000000_'',-3.4269204899288556E-4
000000_<RIGHTANGLE>,-4.743384504624082E-20
00000_'',-4.743384504624082E-20
00007f,-1.3552527156068805E-20
00007f_<RIGHTANGLE>,-1.3552527156068805E-20
000099,7.453889935837843E-20
000099_'',7.453889935837843E-20
000099_<RIGHTANGLE>,-4.743384504624082E-20
0000ff,-4.743384504624082E-20
0000ff_'',-4.743384504624082E-20
005-7017929690-91,-5.421010862427522E-20
005-7017929690-91_issued,-5.421010862427522E-20
005E701792969,-5.421010862427522E-20
005E701792969_0-91,-5.421010862427522E-20
00_'',-2.710505431213761E-20
01,0.032755404441761955
01dec,-4.0187989478315177E-4
01dec_austin,-5.421010862427522E-20
01dec_houston,-4.0187989478315177E-4
02,-0.0014329152190046429
02:58:10,3.7947076036992655E-19
02:58:10_pm,3.7947076036992655E-19
02_<COMMA>,-0.0014329152190046437
02apr,-4.0187989478315177E-4
02apr_houston,-4.0187989478315177E-4
03:40:36,2.21257532625493E-4
03:40:36_pm,2.21257532625493E-4
03dec,-4.0187989478315177E-4
03dec_cleveland,-4.0187989478315177E-4
03dec_houston,-5.421010862427522E-20
03dec_new,-4.0187989478315177E-4
06,-0.028046910106479545
06_<COMMA>,-0.028046910106479545
08,-7.934162732949111E-4
09,-0.028700147657942588
09\/07\/2000,-2.8129718266184617E-4
09\/28\/2000,0.014747355334496929
09_2000,-5.421010862427522E-20
09_<COMMA>,-0.028700147657942585
09nov00,-5.421010862427522E-20
09nov00_<DASH>,-5.421010862427522E-20
0:56,-5.421010862427522E-20
0:56_duration,-5.421010862427522E-20
0:57,-5.421010862427522E-20
0:57_duration,-5.421010862427522E-20
0_'',-4.470243174929854E-4
0_<AMPERSAND>,1.3552527156068805E-20
0_<COMMA>,-4.743384504624082E-20
0_<RIGHTANGLE>,-4.97455976268061E-6
0_EOL,-0.018990024794180285
0_align,-1.3552527156068805E-20
0_bgcolor,-2.710505431213761E-20
0_border,-4.0657581468206416E-20
0_cellpadding,-5.421010862427522E-19
0_cellspacing,1.0842021724855044E-19
0_gary,-3.1848438816761693E-19
0_marginwidth,-1.3552527156068805E-20
0_points,-8.605854744103691E-19
0_pts,-0.003262519411436592
0_src,-4.743384504624082E-20
0_topmargin,-1.3552527156068805E-20
0_width,-4.472333961502706E-19
0_z,-5.421010862427522E-20
0e6df,1.3552527156068805E-20
0e6df_'',1.3552527156068805E-20
0f0f0,-4.743384504624082E-20
0f0f0_'',-4.743384504624082E-20
0f0f0_<RIGHTANGLE>,-4.743384504624082E-20
1,-0.05744266271518836
"1,000",-0.013528082792004273
"1,800",-9.003769681199723E-4
"1,800_value",-9.003769681199723E-4
1-2,-6.946374230740002E-4
1-800,6.776263578034403E-20
1-800-227-7368,-0.0
1-800-227-7368_<CLOSEPAREN>,-0.0
1-800-642-1617,-0.0
1-800-642-1617_<PERIOD>,-0.0
1-800-774-1500,-0.0
1-800-774-1500_and,-0.0
1-800-car-rent,-0.0
1-800-car-rent_<OPENPAREN>,-0.0
1-800-contacts,1.0842021724855044E-19
1-800_contacts,1.0842021724855044E-19
1-800_go,-0.0
1-877-467-6007,-1.240022685635652E-4
1-877-467-6007_canada,-1.240022685635652E-4
1-877-844-7590,-1.240022685635652E-4
1-877-844-7590_usa,-1.240022685635652E-4
1-888-203-1112,0.005951599265391028
1-888-203-1112_<OPENPAREN>,0.005951599265391028
1.0,0.01156896067233683
1.0_</td>,1.3976043629695956E-20
1.5,0.00342547743690491
1.89,-0.0
1.89_per,-0.0
1.9,0.00342547743690491
1.99,1.1519648082658485E-19
1.99_sales,1.1519648082658485E-19
1.99_was,2.710505431213761E-20
10,-0.0021563642365320878
"10,000",-0.0030994972234262186
"10,000_miles",-0.0
10-15,0.005951599265391028
10-15_minutes,0.005951599265391028
10.0,-1.3552527156068805E-20
10.00,-0.0025335160735621555
10.75,-0.0
10.75_<PERCENTSIGN>,-0.0
10.81,3.3881317890172014E-21
10.81_was,3.3881317890172014E-21
100,-0.013631201410570129
"100,000",0.006427453155820225
100-yard,1.3552527156068805E-20
1000,-0.016128695242482012
1000_bonus,1.3552527156068805E-20
100_</td>,1.1858461261560205E-20
100_<DASH>,-2.6593471605757544E-4
100_<PERCENTSIGN>,-0.01014490101467848
100_get,1.3552527156068805E-20
100_percent,-0.0
100_points,5.421010862427522E-20
100_yards,-0.0
101,-7.318364664277155E-19
102,-0.0
104,-0.0
107,-0.007546581054500347
107_yards,-2.710505431213761E-20
108,-0.0
108_<COMMA>,-0.0
109,-5.421010862427522E-20
109.00,-9.378452108296334E-5
109_<DASH>,-0.0
10:00,-0.008038632120869117
10:00:00,-1.2197274440461925E-19
10:00:00_am,-0.0
10:00:00_pm,-1.2197274440461925E-19
10:06,0.001989627983384209
10:44:34,-5.421010862427522E-20
10:44:34_am,-5.421010862427522E-20
10:45,-5.421010862427522E-20
10:45_am,-5.421010862427522E-20
10\/23\/01,-0.0
10\/23\/01_<PERIOD>,-0.0
10\/25\/2000,3.7947076036992655E-19
10\/25\/2000_02:58:10,3.7947076036992655E-19
10_<COMMA>,-0.0
10_<PERCENTSIGN>,1.8973538018496328E-19
10_<PERIOD>,-2.710505431213761E-20
10_<RIGHTANGLE>,-1.3552527156068805E-20
10_EOL,-0.00668772226334745
10_carries,-0.0
10_cellspacing,-4.743384504624082E-20
10_family,-3.426920489928849E-4
10_free,-1.3552527156068805E-20
10_gary,-3.1848438816761693E-19
10_height,1.1858461261560205E-20
10_i,-0.0013312074652239117
10_in,-0.0
10_million,4.0657581468206416E-20
10_prints,2.710505431213761E-20
10_x,2.710505431213761E-20
10k,-0.0053631987083370865
10pm,2.710505431213761E-20
10pm_<DASH>,5.421010862427522E-20
10th,1.3552527156068805E-20
11,0.019559581844162323
11-15,0.018511750513705336
11-15_<COMMA>,-0.004051524549417892
11.0,4.743384504624082E-20
11.0_</td>,-6.776263578034403E-21
110,-0.00148625957517158
112,-2.0328790734103208E-20
1120a,-5.421010862427522E-20
1120a_1216p,-5.421010862427522E-20
113,0.003311319703305937
113_<PERIOD>,-0.0
115,-0.0
115p,-4.0187989478315177E-4
115p_547p,-4.0187989478315177E-4
119,-0.0
119_<DASH>,-0.0
11:00,0.005951599265391034
11:00:00,-5.421010862427522E-20
11:00:00_pm,-5.421010862427522E-20
11:58,0.002409008261456647
11:58_am,0.002409008261456647
11:59,-0.0020541454517447625
11:59_p.m.,1.0842021724855044E-19
11:59_pm,-1.240022685635651E-4
11\/01\/2000,-0.0013312074652239117
11\/03\/2000,-0.0013312074652239135
11\/08\/2000,0.0015877480886010529
11\/09\/2000,-5.421010862427522E-20
11\/09\/2000_10:44:34,-5.421010862427522E-20
11\/09\/2000_10:45,-5.421010862427522E-20
11\/10,0.0019896279833842077
11\/17\/00,0.002409008261456647
11\/17\/00_<CLOSEPAREN>,0.002409008261456647
11\/24\/00,0.002409008261456647
11\/24\/00_<CLOSEPAREN>,0.002409008261456647
11\/28\/2000,0.014747355334496929
11\/30\/01,-1.3552527156068805E-20
11_<AMPERSAND>,-0.004483626998025747
11_<COMMA>,0.041325668523977815
11_<PERIOD>,-0.0014400263990370502
11_EOL,-0.012139779451598276
11_carries,2.710505431213761E-20
11_catches,1.3552527156068805E-20
11_gary,-2.8129718266184487E-4
11_in,-0.0
11_jets,-3.1848438816761693E-19
11p,-0.00339138355625737
11p_tickets,-0.00339138355625737
11th,-0.00801282467685177
11th_row,-0.0014578237179933826
12,0.02229627162882408
"12,500",-0.0
"12,500_miles",-0.0
12.0,-1.3552527156068805E-20
12.0_</td>,-1.3552527156068805E-20
120,-0.009482852928149349
120p,-4.0187989478315177E-4
120p_259p,-4.0187989478315177E-4
121,-0.0012104105933875015
1216p,-5.421010862427522E-20
1216p_co,-5.421010862427522E-20
125,-0.00598318712529689
125_deposit,1.3552527156068805E-20
127,0.00667282496897759
128,0.001912120290043545
129,-2.710505431213761E-20
129.00,-9.378452108296335E-5
129.95,-0.0014732848622756372
129_one-way,-0.0
12:00,-1.2197274440461925E-19
12:00:00,-1.2197274440461925E-19
12:00:00_am,-1.2197274440461925E-19
12:00:00_pm,1.5585406229479126E-19
12:00_am,-1.2197274440461925E-19
12:00_midnight,-7.453889935837843E-20
12:30,-1.3552527156068805E-20
12\/01\/2000,2.21257532625493E-4
12\/01\/2000_03:40:36,2.21257532625493E-4
12\/08\/2000,-0.005402902254636791
12\/21\/01,-0.0
12\/21\/01_</font>,-0.0
12\/27\/01,1.3552527156068805E-20
12\/27\/01_<PERIOD>,-0.0
12\/31\/01,-2.8143474497679857E-4
12_<COMMA>,0.019267379354036634
12_<PERCENTSIGN>,0.005337597726948452
12_<PERIOD>,0.011154595857411123
12_before,-0.004483626998025747
12_in,-0.0
12_months,0.0034254774369049104
12_points,5.421010862427522E-20
12_yards,-0.0
13,-0.019025586830933614
13.0,-0.0
13.0_</td>,-0.0
130,-0.0014967696519130002
132,0.003311319703305936
132_roundtrip,-0.0
132_rt,-0.0
135,-9.486769009248164E-20
136,-0.0010502108634695114
137,-0.0
138,-0.001050210863469508
138_yards,-0.0
139,-0.0010502108634695096
13_<COMMA>,-0.024103485878275707
13_<PERIOD>,-2.710505431213761E-20
13_carries,1.3552527156068805E-20
13_in,-0.0
14,-0.005313396990934911
14.0,-2.710505431213761E-20
14.0_</td>,-1.3552527156068805E-20
142,-0.0010502108634695114
143,-0.0010502108634695096
144,-0.0010502108634695114
146,0.0019121202900435467
147,-0.0010502108634695114
149,-2.710505431213761E-20
14_</font>,1.1858461261560205E-20
14_<COMMA>,-4.643069778092702E-4
14_<PERCENTSIGN>,-0.0
14_<PERIOD>,-2.710505431213761E-20
14_carries,-0.0
14_family,-1.4907779871675686E-19
14_height,-1.3552527156068805E-20
14_in,-0.0
14_src,-1.3552527156068805E-20
14th,0.011166482583172328
15,0.0049194077494072305
"15,000",-0.0
15.0,1.3976043629695956E-20
15.00,-0.00468231054809464
15.00________________________________________________________________________,-0.00339138355625737
15.0_</td>,1.3976043629695956E-20
150,-0.0038201460824634614
1507,-5.421010862427522E-20
